"","date","Atlanta","Bay Area","Chicago","DC","Dallas","Houston","Los Angeles","Miami","New York"
"1",2020-10-01,53.2,54.2,41.5,54.8,51.9,45.5,53.7,52.8,52.5
"2",2020-11-01,44.7,43.5,36.4,38.1,43.1,38.4,46,38.8,45.5
"3",2020-12-01,43.8,41.2,34.4,39,41.7,37.8,44.8,39.1,45.5
"4",2021-01-01,41.2,41.3,30.1,40.2,37.7,36.7,44,38.8,43.1
"5",2021-02-01,43.2,40.5,32.6,39.9,39.4,37.7,43.8,38.6,44
"6",2021-03-01,41,39.5,31.5,40.5,38,35.7,43.6,38.6,42.9
"7",2021-04-01,40.1,38.2,31.5,39.5,36.1,33.2,42.1,37.7,42.3
"8",2021-05-01,39.4,37.2,31.4,39.5,36.1,34.4,41.2,36.9,41.1
"9",2021-06-01,38.4,39.3,32,39.1,36.3,32.3,41,36.7,40.5
"10",2021-07-01,38.4,39.1,34.7,39.3,36.4,30.9,41.6,36.7,40.2
"11",2021-08-01,37.7,39.7,34.5,37.9,34.5,29.4,41.2,36.5,39.8
"12",2021-09-01,38.5,42.7,34.3,36.8,32.7,30,41.8,35.6,39.8
"13",2021-10-01,39.8,41.7,34.4,38.6,33.6,32,41.3,36.4,39.3
"14",2021-11-01,41.5,41.8,33.8,39.2,33.6,32.6,41.1,35.1,40.2
"15",2021-12-01,41.2,41.1,35.1,40.5,33.3,33.6,42.3,35.1,40
"16",2022-01-01,42.5,42.8,35.2,40.4,35.4,35.7,42.3,36.6,40.1
"17",2022-02-01,43.2,41.8,34.7,39.8,35,35.4,42,35.5,40.1
"18",2022-03-01,44.3,40.6,36,39.8,36.7,34.4,40.3,37.4,40.3
"19",2022-04-01,44.2,41.9,36.5,38.6,36.1,35.1,40,37.1,40.7
"20",2022-05-01,42.4,42.2,36.7,37.5,35.9,33,40.1,38.5,39.6
"21",2022-06-01,43.3,40.9,36.3,34.5,35.3,32.6,38.1,38.9,39.1
"22",2022-07-01,43,38.6,33.8,33,33.3,29.4,35.7,35.6,39
"23",2022-08-01,40.7,37.3,32.8,33.2,34.3,29.6,35.8,36.1,38.7
"24",2022-09-01,38.8,35.9,31.4,33.5,31.8,28.2,36.3,34.5,37.4
"25",2022-10-01,36.1,34.4,30.4,31.3,31,28.2,36.6,35.7,36.6
"26",2022-11-01,36,33.4,29.3,30.9,30.6,30.1,35.1,34.7,35.1
"27",2022-12-01,35.2,33.6,27.9,33,31.4,30.9,35.4,33.3,35
"28",2023-01-01,33.7,32.9,29.6,33.9,32.1,33.2,35.9,33.1,35.6
"29",2023-02-01,33.5,34.1,30.5,31.8,32.5,34.6,35.2,32.2,35.5
"30",2023-03-01,32.2,33.7,31.3,30.8,34,36.2,34.7,31.8,35.7
"31",2023-04-01,34,32.3,31.3,32.7,34.6,34.8,34.3,30,35.3
"32",2023-05-01,34.1,34.4,32.2,31.7,35.9,33.9,35.2,30.3,36.9
"33",2023-06-01,32.9,36.2,31.6,31.2,35,34.4,35.6,31.3,36.9
"34",2023-07-01,32.4,37,31.2,30,34.7,33.7,35.9,32.1,36.2
"35",2023-08-01,32.8,37.5,30.8,32.5,35.1,33.4,36.2,33.7,35.5
