"","date","employer_desires_all","employer_desires_able","worker_desires_all","worker_desires_able"
"29",2020-07-01,1.05,NA,2.1,NA
"33",2020-08-01,1.06,1.58,2.17,2.58
"37",2020-09-01,1.09,1.56,2.19,2.55
"4",2020-10-01,1.13,1.58,2.31,2.63
"7",2020-11-01,1.1,1.57,2.38,2.79
"10",2020-12-01,1.09,1.6,2.47,2.96
"1",2021-01-01,1.06,1.58,2.41,2.96
"13",2021-02-01,1.11,1.69,2.39,2.97
"16",2021-03-01,1.14,1.74,2.37,2.96
"19",2021-04-01,1.17,1.77,2.39,2.96
"23",2021-05-01,1.2,1.8,2.38,2.91
"26",2021-06-01,1.22,1.85,2.34,2.87
"30",2021-07-01,1.24,1.91,2.32,2.87
"34",2021-08-01,1.28,1.96,2.3,2.82
"38",2021-09-01,1.3,1.99,2.29,2.81
"5",2021-10-01,1.33,2.01,2.31,2.82
"8",2021-11-01,1.37,2.03,2.26,2.81
"11",2021-12-01,1.39,2.07,2.24,2.78
"2",2022-01-01,1.4,2.15,2.17,2.78
"14",2022-02-01,1.4,2.23,2.15,2.77
"17",2022-03-01,1.45,2.29,2.13,2.79
"20",2022-04-01,1.53,2.32,2.16,2.79
"24",2022-05-01,1.59,2.35,2.21,2.81
"27",2022-06-01,1.61,2.37,2.27,2.85
"31",2022-07-01,1.57,2.35,2.31,2.87
"35",2022-08-01,1.53,2.31,2.33,2.91
"39",2022-09-01,1.53,2.3,2.28,2.83
"6",2022-10-01,1.56,2.32,2.24,2.79
"9",2022-11-01,1.53,2.3,2.19,2.75
"12",2022-12-01,1.48,2.26,2.18,2.75
"3",2023-01-01,1.43,2.21,2.16,2.74
"15",2023-02-01,1.46,2.22,2.19,2.74
"18",2023-03-01,1.52,2.25,2.24,2.77
"21",2023-04-01,1.53,2.25,2.3,2.81
"25",2023-05-01,1.53,2.23,2.32,2.8
"28",2023-06-01,1.54,2.24,2.3,2.81
"32",2023-07-01,1.56,2.22,2.27,2.74
"36",2023-08-01,1.57,2.22,2.26,2.73
