"","City","Population","Area","Cost_per_trip","Fare_per_trip","Miles_per_trip"
"1","Seattle--Tacoma, WA",3544011,982.52,13.9060321156941,1.57066719246148,5.78634382852913
"2","Spokane, WA",447279,171.67,13.4338272742463,0.988307598538632,4.7725690049516
"3","Yakima, WA",133145,55.77,19.7200925442662,1.11253125705962,5.17916819219294
"4","Eugene, OR",270179,73.49,10.851493727406,2.75335551018143,3.68411793783257
"5","Portland, OR--WA",2104238,519.3,10.804360633414,1.02565850217483,4.01138830172298
"6","Boise City, ID",433180,139.23,19.025371685246,0.744022622793576,4.02420096932548
"7","Anchorage, AK",249252,91.69,32.0100527609008,13.0847420299597,15.7583515505037
"8","Longview, WA--OR",69841,35.19,22.8507537794693,0.507897240723121,4.14185854741516
"9","Kennewick--Richland--Pasco, WA",255401,112.21,18.8727758144416,0.707208527992799,7.63922115915203
"10","Olympia--Lacey, WA",208157,106.21,16.2033783098245,0.122062798793111,6.93155931654737
"11","Bremerton, WA",224449,146.91,28.8634482439082,2.41786031122201,7.6374286777221
"12","Bellingham, WA",128979,50.13,14.0562321484987,0.498591867130027,3.22194501576413
"13","Salem, OR",268331,72.68,17.5924645017308,1.16823207420216,3.90645050657732
"14","Medford, OR",171640,63.02,22.9147600989808,1.27608779695325,5.63308327505397
"15","Wenatchee, WA",78142,32.6,21.934473483556,0,7.96790181185521
"16","Mount Vernon, WA",66825,30.66,37.8541064441304,1.39595511476855,13.5068045861897
"17","Bend, OR",106988,42.41,19.18109067045,0.460925235652521,6.97439632115313
"18","Providence, RI--MA",1285806,544.25,12.3397500604289,1.50407556962908,5.55591246772641
"19","Boston, MA--NH",4382009,1655.89,8.58825166331811,1.60194394158613,4.24439922486268
"20","New Bedford, MA",155491,59.31,10.7220316681768,0.799398992540762,3.3534405962055
"21","Pittsfield, MA",50720,30.46,19.2186847408841,1.3930461587831,4.64752358748581
"22","Springfield, MA--CT",442145,201.77,8.49614286292351,0.830851026932037,3.49637168022229
"23","Worcester, MA--CT",482085,260.29,9.2559045895803,0,4.20012177080452
"24","Portland, ME",205356,123.88,15.957396607571,4.83459841726727,17.2300662853879
"25","Hartford, CT",977158,535.93,14.4663690992215,0.870194258683038,5.86105478861375
"26","Norwich--New London, CT",167432,116.72,9.05755259825376,0.605660591608471,5.82600672921928
"27","Bridgeport--Stamford, CT--NY",916408,397.29,8.22181207078291,0.772925306765794,3.41204127723379
"28","New Haven, CT",561456,298.01,11.3206303871138,0.873477313571176,3.45342031702494
"29","Danbury, CT--NY",171680,118.49,18.3400824295011,0.800453362255966,6.78910845986985
"30","Leominster--Fitchburg, MA",111790,52.93,30.9198216589722,3.50993909888491,8.41842927576305
"31","Dover--Rochester, NH--ME",72391,52.31,23.072305666355,1.31594556940283,8.13971410576941
"32","Nashua, NH--MA",242984,195.56,12.0962385286838,0.782310661745983,4.63980661304615
"33","Lewiston, ME",60743,31.42,27.5456395513168,0.575228742863142,6.15374427638114
"34","Barnstable Town, MA",303269,341.28,27.4468228978043,11.7720178425562,13.3812662900407
"35","Waterbury, CT",199317,92.44,13.3851655013592,0.519685172251748,3.79550995292902
"36","Albany--Schenectady, NY",593142,271.3,10.3938291187032,0.814129589629101,4.09353656989543
"37","Binghamton, NY",155942,69.73,9.73825951968747,1.84911456965328,3.63441570216818
"38","Buffalo, NY",948864,340.5,10.4987822859158,1.78111714740862,3.1937446038135
"39","New York--Jersey City--Newark, NY--NJ",19426449,3248.12,6.03875957140405,1.75210019693541,5.15082717941385
"40","Poughkeepsie--Newburgh, NY",314766,209.92,20.2410941437568,0.9957969210166,5.35189684864305
"41","Syracuse, NY",413660,180.53,14.4815488098832,2.02069026277105,3.14201060191349
"42","Philadelphia, PA--NJ--DE--MD",5696125,1898.19,8.42419762618327,1.43159102805072,4.53348462172304
"43","Rochester, NY",704327,291.83,12.2373247688147,1.66570370847852,3.19693731730912
"44","Ithaca, NY",59102,24.56,6.53885641735481,1.62193653592726,4.49240158201945
"45","Atlantic City--Ocean City--Villas, NJ",294921,162.87,35.5358728014902,8.36391958587933,15.9650598235669
"46","Charleston, WV",140958,92.92,12.5180645732499,1.12192578601503,5.05618777790894
"47","Huntington, WV--KY--OH",200157,128.87,9.85250611565085,1.72747470090936,5.76166732346403
"48","Richmond, VA",1059150,512.35,7.2375434640348,0.253657777571145,5.10318221099965
"49","Roanoke, VA",217312,125.5,10.0386159978422,1.10536916537826,5.90548604732749
"50","Lynchburg, VA",125596,91.6,17.608174643157,1.05264595577946,5.14195577945704
"51","Allentown--Bethlehem, PA--NJ",621703,261.55,13.8960261694259,1.51303419411974,5.35639229184552
"52","Altoona, PA",74426,37.01,13.0996523116114,1.46383926010075,4.65973814359645
"53","Johnstown, PA",61521,34.7,15.164263222456,1.61937761965583,3.5951225749522
"54","Erie, PA",187820,73.34,17.9919084392753,3.5525677725604,3.8241577766044
"55","Scranton, PA",366713,162.16,19.5715612364499,1.47528417957236,4.37835865924112
"56","Pittsburgh, PA",1745039,906.64,14.4987377491532,1.76536496540049,4.07401373028989
"57","Williamsport, PA",55344,27.72,12.1265332007322,0.872299332670328,5.51120479670226
"58","Washington--Arlington, DC--VA--MD",5174759,1294.51,14.4955163165157,1.28832282148267,4.58126820960537
"59","Baltimore, MD",2212038,654.93,17.2383779828459,1.066493954715,5.8178045089398
"60","Wheeling, WV--OH",57695,36.81,15.4247495610121,1.08907495897982,3.52371254209966
"61","Charlottesville, VA",104191,36.87,47.6893205945926,1.60191081111224,10.7973414340112
"62","State College, PA",83674,25.92,4.98648913261945,1.45039799666053,3.4986369228991
"63","Frederick, MD",176456,80.29,15.275048677512,0.0274193612088611,5.40545701568344
"64","Williamsburg, VA",89585,69.87,8.34491065700524,0.988820305874104,4.91485830083197
"65","Virginia Beach--Norfolk, VA",1451578,481.67,15.5847205185251,1.33149178571817,5.46342759507407
"66","Pennsylvania Non-UZA",4196634,0,22.2597097679513,3.5084012138636,9.63275606361376
"67","Waldorf, MD",118601,59.35,16.9039007585307,0.261040411607179,7.24936863872678
"68","Blacksburg--Christiansburg, VA",72400,33.98,3.0497586170175,0,1.7222467712578
"69","Harrisonburg, VA",73377,31.1,4.35962407900164,1.50871313525083,2.01633956412634
"70","Lebanon, PA",75485,32.71,20.6658565362062,4.4797725153667,5.91328805440542
"71","Salisbury, MD--DE",78075,48.39,26.6884946253699,1.94399013809851,32.2895286372403
"72","Morgantown, WV",77620,40.7,4.77492631673759,0.0597508172533568,1.81383493948429
"73","Lancaster--Manheim, PA",394530,181.53,11.2436780948343,1.66905151441728,4.92674775022659
"74","Chattanooga, TN--GA",398569,291.7,13.0954972007738,2.64981267203358,3.25537027922379
"75","Knoxville, TN",597257,431.91,11.7726666936651,1.14900311463399,3.61370669057253
"76","Memphis, TN--MS--AR",1056190,491.27,20.13375005753,0.605127340294265,5.2718371194497
"77","Nashville-Davidson, TN",1158642,584.95,11.9858150033892,1.18744957314813,5.72001327467671
"78","Asheville, NC",285776,248.58,8.77338136742302,0.815556397669889,3.21618110102392
"79","Wilmington, NC",255329,142.25,12.0852413455547,2.48754629089176,2.96527954564954
"80","Raleigh, NC",1106646,554.82,7.8190599652686,0.417284947581307,3.35984620991775
"81","Charlotte, NC--SC",1379873,657.61,14.0915710704065,1.07152674481377,4.7407560556841
