Rating,Date,Review
4,"Jul 2, 2007","I've seen things dirtier, smellier, just downright nastier than the Bay Area Rapid Transit system or BART, as we call it. I can't give it 5 stars, but this system has gotten me from Point A to B without much complication for the last 20 years. Just needs new seats and carpet, perhaps even some security. Why does Bart Police exist?"
5,"Nov 16, 2007","Coming from LA, we took the BART to Powell Street! This was great. It took us right where we needed to be. Why can't LA have such great transportation. Yes even though it was quite crowded from SFO to downtown, it was so convenient and for $5.15 its cheaper than a taxi too."
3,"Dec 25, 2007","Public transportation is extremely important, and we're fortunate to have BART-! still... it could do a lot better of a job. I think people praise it here because Californians are so used to the idea of not having public transportation that they have very low standards. Anyone who's been around the world and seen metros in place in cities much poorer than San Francisco would be hard-pressed to call the BART fantastic.Going from the East Bay to the west Bay to commute to work is *very* expensive, although it did bring down my auto insurance rates a few hundred dollars a year. I'm talking like $120 a month just to go to work...  this is not an affordable option for low income people, but it beats driving a car.And the midnight closures... geez! what's with that? That being said, it's remarkable that BART's in place, and considering the history of Californian government, corruption goes hand in hand with projects like the Bay Bridge, MUNI & the BART. It's also bad to compare the bart to other systems since they depend on so much funding from the fares--Bay area people should definitely cough up more money for the BART, whether it's through some form of gas tax or auto tax..."
3,"Sep 8, 2008","A necessary evil with gas prices, bridge tolls, and city parking.... I ride Tuesday- Thursday... Fruitvale to Montgomery and Civic Center to Fruitvale..I'm very particular  on where I sit so I don't get motion sickness, either sideways or facing forward.... never ride backwards... NEVER... I must say though I love to eaves drop on conversation and stare at people... If someone were to ask me on Bart if I had a staring problem, I would have to respond with, ""Why yes... Yes I do!!!"" I've thought numerous times about writing a book about my travels on Bart...."" Confessions on a Bart train""... but alas I am always to drained from the Bart ride to write...."
3,"Aug 14, 2009","BART is not like the New York or Tokyo subways. Trains are infrequent, it's expensive, people don't really know how to act...but it gets the job done and it often beats driving. And i'm sure it would be way better if people were willing to pay more tax. Let's see how much we really need BART when they go on strike.On the other hand, F*** the bart strikers."
3,"Mar 17, 2011","What's with the people who ride the BART? I've never seen so many horribly dressed people at the same time in a small metal tube in my entire life. One time I felt the need to flee at the site of a homeless man running full speed through the BART with no shoes on. His feet looked really gross and it scared me! I'm from Seattle, and apparently our lack of good and efficient public transportation did not prepare me for riding the BART. The BART does get you where you need to go though, so 5 stars for that."
4,"May 22, 2006","Compared to most cities mass transit, I'll take BART any day of the week. Compared to something like Path in Jersey or Metrorail in upstate/connecticut, Bart ain't that expensive and is pretty reliable most of the time. Only thing I hate about it is the refusal to run overnight. Even if it was just one train an hour, that would make a HUGE difference."
3,"Jun 25, 2009","Really is OK. If I were a pragmatist, BART would be getting 2 stars, lucky for them I'm a train fan.Here goes: faster service, cleaner cars, cleaner stations, lower fares, more frequent service, less pay to employees, better managers/directors and newer rail cars are just some of the thousands of ways BART NEEDS to improve.I'm going to take Muni instead until BART gets itself together, lowers its  fare and restores normal service (referring to fare increase and service cuts for July/Sep 09)."
5,"Dec 17, 2010","Public transportation is the key if you're low on funds and/or care about leaving a decent environment for your children to grow up in. There's not a vast quantity of public transport in LA so it's a relatively new idea for me.  The biggest problem is that I'm directionally challenged so getting on and off the right train was difficult... Luckily I had some friends there to guide me otherwise I'm not sure where I would've ended up!  Overall, I'm pleased with the system they set up in this magnificent city. Next time I'll pay more attention and I'm sure I'll be just fine."
1,"Jan 22, 2016","FARE EVADERSIn light of the recent fare increase, I get quite irritated when I see a fare evader.  I see it occur about 3 times per week.  I see this crime so often that I now can tell when someone is about to evade the fare by watching their body language.  They begin to look over at where the station agent is located.  Often the station agent is busy/talking to another station agent/distracted/assisting a customer.  The fare evader walks to the turnstile which is located farthest from the station agent, and positions himself very close to the customer in front of him who is in the process of going through the turnstile.  Then the fare evader quickly runs through before or during the seconds that the turnstile gate closes.  Often, the fare evader has a very satisfied look on his face, that he never pays for a BART ride, and never intends to pay again.  Can you imagine how many thousands of dollars BART may be losing?  (And we, the honest people, are paying higher fares for?)  If me, just one person, is seeing the thieves evade the fare at least 3 times per week, there must be many, many more that are unseen.One evening recently at the Pittsburg station, I witnessed another fare evader and decided I had seen enough.  I went up to the station agent, told her what I saw in a loud voice, and pointed to the fare evader.  The fare evader saw me do this.  The station agent did not try to detain him.  She did not announce anything on the speaker system.  As I was leaving the station, the fare evader followed me and told me that he ""was tired of people like me doing things to his people.""  I assumed he was trying to make my reporting of his crime to the station agent into a racial issue (I am white; he was black.)  He kept following me so I turned around and yelled as loudly as I could, asking for someone to call BART police.  After 15 seconds of my screaming, he wandered away and got on a bus.  I called BART police myself, but they never appeared.One time I asked a station agent about the prevalence of these fare evaders.  He told me the following:  ""the Board of Directors at BART have instructed us to not to do anything about it.""Twice, I have called the ""Comments and Complaints"" phone line to voice my concern about this, and asked what is BART's policy on dealing with the fare evaders.  I asked if they could please return my call.  I have never heard back from BART.  That phone line is: 510- 464-7134.EATING AND DRINKING ON TRAINSBART has signs posted in the stations and inside the train cars prohibiting eating and drinking.  It is announced on the speaker system via a recorded message, and the consequence when caught is a $250 fine.  Yet there are a good number of people who ignore the rules.  I wouldn't care so much about this normally - but I have realized how these rule breakers can actually cause a danger to other passengers.  When liquids are spilled on the floor, passengers can slip and fall.  I was in the same car as a woman who spilled her coffee right before the train departed the station.  Then I observed how the coffee ""traveled"" all over the floor of the car, expanding further each time the train stopped and began moving again.On my trip each morning, the train begins to become very crowded, especially at the MacArthur station.  I see people carrying tall, hot, paper cups of coffee.  They are standing up holding the coffee, and they are positioned extremely close to other passengers.  If the train comes to a sudden stop (which happens often), and if that hot coffee spills on fellow passengers, then doesn't BART recognize the potential lawsuit(s)?Additionally, scraps of food, ketchup, mustard, and other food items are seen on the seats, even in the morning, when you would think that the trains should have been cleaned prior to the morning commute.  Shells from nuts and seeds, chips, Cheetos, open cans of soda, and water bottles roll on the floor."
