"","hour","hour_numeric","avg_daily_entries","avg_daily_exits"
"1","4:00 AM",4,518,76
"2","5:00 AM",5,3350,1540
"3","6:00 AM",6,6671,4933
"4","7:00 AM",7,11567,9054
"5","8:00 AM",8,13408,13599
"6","9:00 AM",9,8685,9878
"7","10:00 AM",10,7183,7214
"8","11:00 AM",11,7212,6947
"9","12:00 PM",12,7758,7395
"10","1:00 PM",13,8255,7811
"11","2:00 PM",14,9976,8805
"12","3:00 PM",15,13189,11306
"13","4:00 PM",16,15867,14277
"14","5:00 PM",17,16978,17081
"15","6:00 PM",18,10919,13567
"16","7:00 PM",19,6796,7990
"17","8:00 PM",20,5100,5532
"18","9:00 PM",21,4504,4450
"19","10:00 PM",22,3594,4043
"20","11:00 PM",23,1699,2583
"21","12:00 AM",0,474,937
"22","1:00 AM",1,119,217
"23","2:00 AM",2,44,53
"24","3:00 AM",3,30,52
