Rating,Date,Review
3,"Oct 21, 2023","An alright transportation system. The prices are reasonable and the stations aren't too difficult to find or navigate through. The trains can be quite crowded at times, which is no different from any major city and trains aren't the newest ones out there, but it's not too different from other US cities either."
1,"Nov 1, 2023","Incredibly unreliable. Do not, I repeat DO NOT rely on this decrepit, schedule-less, infuriatingly poor excuse for a transportation system to get you anywhere on time. I now run commute which is a far faster and more reliable way to go anywhere the T ""services."" Here's to hoping the federal government takes over the MBTA and transforms it into even a semi-usable transport system.Photo is cracked support beam ""repaired"" with zip ties. Typical T solution!"
2,"May 17, 2023","For out of state visitors, MBTA ferry website information has a LOT to be desired. The ferry docking station by the airport appears to have multiple names. Ferry people don't offer senior or disabled discounts that are available (especially when it's very obvious). Not the friendliest employees, and customer service on phone isn't much better. Desert dwellers as myself are NOT always familiar with ferry/boating terms and pickup/drop off locations. Trying to schedule ferry trip from airport to Hingham or Hull is clear, but trying opposite direction from Hull or Hingham goes to a different named ferry location. Same location but two different names used depending upon coming out going????? Finally got on ferry after several hour wait, no actual schedule posted, only to be dropped off at wrong town, and expensive taxi ride was needed. Websites too confusing and format not cell phone friendly. ..... BUT .... I can assure you that the shuttle bus drivers are EXTREMELY nice and helpful. Staff at Logan airport very friendly and helpful.Staff at Hingham airport NOT SO MUCH. Not every out if town visitor had travel guides or itineraries mapped out. Be a little kinder."
1,"Oct 6, 2023",NEVER ON TIME! it's pretty simple. Terrible customer  service to add to that as well. I have to take the train to and from work unfortunately but this is the worst!
1,"Sep 19, 2023",Worst. Period.This train is consistently late. And the assholes have the audacity to skip stations.
1,"Sep 12, 2023","Late. Very late. These drivers arrive very late and then run express, skipping the station entirely.Even when it's raining or snowing.Shameful assholes. Some of us have medical appointments,classes to reach. This the second time I might miss a medical appointment. Just mediocre and shameful. Especially the B line."
1,"Oct 17, 2023","The worst most mismanaged transit in US, the Shame of Bostin, dirty squicking trains, unsafe. Today it took me 80 min instead of 15min , between shuttles and late red line train to get fro. SHAWMUT TO JFK.  Entire management ahoukd be fired, Gov and Mrs Wu invited to take subway instead of SUV. No one cares that thoysands of people are late fir wirk, which decline priductivity and wffuciency and entire economics, WELCOME TO Boston, City in stine with dysfunctional transit system and city administration"
5,"May 8, 2023",I left my phone on the bus on the last route of the day so I frantically called the lost and found number 617-222-2432 and was lucky enough to speak with Israel. He was so helpful and friendly and set a great example of how good humans should act! A person had found my phone on the bus and turned it in to Israel who held it for me and answered my many phone calls tryingto coordinate when to come get it. He was always polite and very patient.  There are some great people there at MBTA!  I'm extremely grateful and hope that sharing my positive experience with others will bring a new light. Many thanks!
1,"Aug 1, 2023","Worst mbta on earth. Blue says we are standing by 2 minutes , then turns to be45 minutes standing by. RIDICULOUS."
1,"Sep 20, 2023","Terrible experience with the ""online"" purchasing. Not available until the following day, and you have to go to a station or fare machine to activate the money i already paid. So, its not actually an online method to add value to my charlie card at all, just a way to secure my purchase while still requiring an in person visit to a limited number if locations, which doesnt include buses or the local bus stop. The 24 delay is also ridiculous, what, are they filing my purchase by hand. Get out of the dark ages MBTA."
1,"Oct 24, 2023",the worst train system in the United States we call America. the redline to ashmont is shut down and it literally takes 2 hours just to get home
1,"Sep 12, 2023",The MBTA is not reliable with scheduling If you are seeking to try to make a certain destination on time from the train schedule always make sure to give yourself an extra hour because the MBTA is run by incompetent staff were not clearly capable of maintaining a schedule.
1,"Sep 10, 2023",Its so bad on redline on Sept 10th that traffic on 93 going into Boston is moving faster! Fire MBTA management ASAP
1,"Sep 4, 2023",Trash bus service. Always late or might not even show up despite how infrequent it is. Green line is slower than a quick stroll.
1,"Apr 2, 2022",Delay after delay after delay after delay
1,"Jun 11, 2023",Walking 5 miles is always faster than waiting for the train No matter what time of the day it isThe MBTA always has an issue and we pay for it
