,0,1,2
0,2 star rating,,"Today is Friday, October 27, 2023.First time I've seen WestLake subway station to be this clean! Thank you!! Please keep it up!!!"
1,Filter reviews by 1 star rating,,"Today is Friday, October 27, 2023.First time I've seen WestLake subway station to be this clean! Thank you!! Please keep it up!!!"
2,5 star rating,"Oct 27, 2023","Today is Friday, October 27, 2023.First time I've seen WestLake subway station to be this clean! Thank you!! Please keep it up!!!"
3,1 star rating,"May 27, 2023","All I am asking just an apologize letter from Metro HR but got no responded again. *** I think LA Metro should start to do Evaluation for their employees whom is not following LA Metro's company policy but other's.Applied for a driver job at Feb got an phone interviewed at Mar 21th, than told me need a Test (BOCAT) than never reach out me.*HR Chief even made up a story for his Team member claimed April 7th, 2023 did called me, said my voice mail was not set up. *** I got all communication emails and phone records; I didn't have any missed call from LA Metro Apr 7th.*** Glad, I am no longer interested before a incident happen at May 24th.  LA Metro bus driver got stabbed multiple times and the driver got serious injury.  I am really sorry for the driver, got peanuts paid but risky his life to driver the bus."
4,1 star rating,"Nov 9, 2023",The #20 on broadway and 5th is full of it they constantly drive by the stop at night even though people have been waiting forever for them to come they don't care if you need to get home or the fact that it's late I really don't understand the issue if you don't like your job quit because this stop is apart of your route
5,1 star rating,"Oct 16, 2023",Metro route 720 are assholes bus number 9591 specifically he literally closed door on my face almost trapped my arm
6,3 star rating,"Mar 13, 2022","If you've spent two hours sitting in your car trying to get from Santa Monica to Glendale, you likely come to the conclusion Joni Mitchell made: ""They paved paradise and put up a parking lot."" The traffic is so bad that there was enough time for an entire opening credits production number in ""La La Land"". Being stalled on the 405 motivated Jamie W. and me to try the LA Metro for the very first time. We heard mixed things about the subway, but what the hell.Mixed was how we felt after our inaugural round trip. We each bought a one-day pass for $3.50, half off the regular $7, by adding Tap cards to our Apple Wallets. We got on the Red Line at the cavernous Civic Center/Grand Park station and took it nine stops to the evocative Hollywood/Vine station which features Art Deco palm trees and miles of empty film reels on the station ceiling. That part of the experience was kinda cool, but the train itself was well worn...There was a surly vibe to the onboarding passengers. After nine stops, I could see why. Random yelling. Bros chugging beers. Seniors left standing. Few masks. But there was no getting around the convenience or the bargain price point. Maybe because LA is all about the car culture, the subway didn't feel as indispensable as the NYC Metro. We had a better experience later that day using our pass for the 4 bus to WeHo on Santa Monica Blvd. Perhaps LA won't be too much for the man.RELATED - Exploring LA? Here's a collection of places I've visited and reviewed: https://bit.ly/2TWT63v"
7,1 star rating,"Oct 11, 2023",251 #1896 bus driver has it sooooo cold. Everyone is freezing. It's 5:59 pm 70 degrees. Turn off the air lady!
8,1 star rating,"Aug 15, 2023",251 bus 8561 bus driver allowing LOUD radio to play. So loud I have earphones on high abs I still can't hear my call. Trying to give job info. Bus driver you suck as much as radio A$$hole
9,1 star rating,"Jul 5, 2022","Its hot. Standing on a corner, no bench, no shade. Two 108 buses didn't stop. Praying the next one does."
